date,portfolio_value,cash_balance,invested_capital,benchmark_value,drawdown,active_positions
2022-09-27,29525295.82444733,-2952.534309689421,29528248.35875702,17007.400390625,-10.652270556647114,20
2022-09-28,29450674.94577759,-2952.534309689421,29453627.48008728,16858.599609375,-10.878083910655523,20
2022-09-29,29488746.104636844,-2952.534309689421,29491698.638946533,16818.099609375,-10.76287518856256,20
2022-09-30,30037316.095649417,-2952.534309689421,30040268.629959106,17094.349609375,-9.102824653280528,20
2022-10-03,29583143.10441391,10225661.74479477,19357481.35961914,16887.349609375,-10.477216489442531,13
2022-10-04,29846371.134229586,10225661.74479477,19620709.389434814,17274.30078125,-9.680651166957134,13
2022-10-06,30246991.212636873,10225661.74479477,20021329.467842102,17331.80078125,-8.468318034448064,13
2022-10-07,30339960.784154817,10225661.74479477,20114299.039360046,17314.650390625,-8.186978935533029,13
2022-10-10,30288861.33228104,10225661.74479477,20063199.587486267,17241.0,-8.341613118637191,13
2022-10-11,30157610.29117386,10225661.74479477,19931948.54637909,16983.55078125,-8.73879736971902,13
2022-10-12,30179734.92008774,10225661.74479477,19954073.17529297,17123.599609375,-8.671845107157939,13
2022-10-13,29898691.832586214,10225661.74479477,19673030.087791443,17014.349609375,-9.522321318922733,13
2022-10-14,29636808.648237154,10225661.74479477,19411146.903442383,17185.69921875,-10.314816948436768,13
2022-10-17,30003386.654897615,10225661.74479477,19777724.910102844,17311.80078125,-9.205499949422569,13
2022-10-18,30198551.934499666,10225661.74479477,19972890.189704895,17486.94921875,-8.614902154829707,13
2022-10-19,30134651.918653414,10225661.74479477,19908990.173858643,17512.25,-8.808272658590399,13
2022-10-20,30191299.32723801,10225661.74479477,19965637.582443237,17563.94921875,-8.636849572231597,13
2022-10-21,30210372.60154526,10225661.74479477,19984710.85675049,17576.30078125,-8.579131141143371,13
2022-10-24,30347973.943479463,10225661.74479477,20122312.198684692,17730.75,-8.162729979804295,13
2022-10-25,30303967.132734224,10225661.74479477,20078305.387939453,17656.349609375,-8.295900825695524,13
2022-10-27,30259159.73622696,10225661.74479477,20033497.99143219,17736.94921875,-8.431494357560398,13
2022-10-28,30100920.886121675,10225661.74479477,19875259.141326904,17786.80078125,-8.910347543340425,13
2022-10-31,30221091.717687532,10225661.74479477,19995429.97289276,18012.19921875,-8.54669357660054,13
2022-11-01,30206470.129399844,-9437.716154508293,30215907.84555435,18145.400390625,-8.590940574907624,20
2022-11-02,30708827.794202395,-9437.716154508293,30718265.510356903,18082.849609375,-7.0707350878754465,20
2022-11-03,30890098.79431302,-9437.716154508293,30899536.51046753,18052.69921875,-6.52218335209912,20
2022-11-04,31132254.2627464,-9437.716154508293,31141691.97890091,18117.150390625,-5.789386586726863,20
2022-11-07,31407521.95608861,-9437.716154508293,31416959.67224312,18202.80078125,-4.95638753616795,20
2022-11-09,31440295.41752965,-9437.716154508293,31449733.13368416,18157.0,-4.857210397243861,20
